,Substances and Materials,Substance Identifier,Scope,Threshold Limit / Criteria,Exemptions,References,Identification Number
0,"1,2,5,6,9,10-Hexabromocyclododecane (HBCDD or HBCD)†","CAS#: 25637-99-4, 3194-55-6, 134237-50-6 134237-51-7 134237-52-8",All products,Not intentionally added; 100 ppm if incidentally present,,Regulation (EU) 2019/1021 (POPs),150601-11
1,Arsenic and its compounds,Various,All products,1000 ppm,Semiconductor chips (die only) and copper foil for printed circuit boards,HP Restriction,090807-98
2,Asbestos,CAS#: 1332-21-4 and others,All products,Not present,,"EU Regulation (EC) 1907/2006, Annex XVII (EU REACH)",980408-11
3,Benzidine-Based Dyes,See Table 3,All products,Not present,,U.S. TSCA 40 CFR 721.1660,150309-30
4,Bisphenol A,CAS#: 80-05-7,external plastics,300 ppm,,California Safe Drinking Water and Toxic Enforcement Act of 1986 (Proposition 65),160701-58
5,Decabromo-diphenyl ether (DecaBDE),CAS#: 1163-19-5,All products,Not intentionally added; Not incidentally present,,TSCA PBT Rule,200715-57
6,"4,4’-diaminodiphenylmethane (MDA)",CAS# 101-77-9,All products,1000 ppm,,"EU Regulation (EC) 1907/2006, Annex XIV (EU REACH)",190831-88
7,Dibutyltin (DBT) compounds,See Table 4,All products,1000 ppm by weight of tin,,"EU Regulation (EC) 1907/2006, Annex XVII (EU REACH)",110727-77
8,"2,2’-dichloro-4,4’-methylenedianiline (MOCA)",CAS# 101-14-4,All products,1000 ppm,,"EU Regulation (EC) 1907/2006, Annex XIV (EU REACH)",190831-43
9,Diisononyl phthalate (DINP),"CAS# 28553-12-0, 68515-48-0, 71549-78-5","external plastics, including cords and cables",exposure of 146 µg/day,,California Safe Drinking Water and Toxic Enforcement Act of 1986 (Proposition 65),160701-81
10,"Flame Retardant, polybrominated biphenyls (PBBs)",See Table 5,All products,Not intentionally added; 1000 ppm if incidentally present,,EU RoHS Directive 2011/65/EU,980408-10
11,"Flame Retardant, polybrominated diphenyl ethers (PBDEs)",See Table 5,All products,Not intentionally added; 1000 ppm if incidentally present,"Non-EEE has different criteria, see HX-00011-13, HX-00011-14, HX-00011-15",EU RoHS Directive 2011/65/EU,980408-50
12,Dimethylfumarate (DMF),CAS#: 624-49-7,All products (leather and desiccant packs),0.1 ppm,,EU Decision 2009/251/EC,090807-44
13,"Lead carbonates, lead sulfates",Various,Paint,90 ppm,,HR 4040 Consumer Product Safety Act,980408-27
14,Monomethyldibromodiphenylmethane (DBBT),CAS#: 99688-47-8,All products,Not intentionally added,,"EU Regulation (EC) 1907/2006, Annex XVII (EU REACH); 67/548/EEC Dangerous Substances Directive",020221-74
